Zone,Préfecture/Province,Arrondissement/Commune,Famille des consistances,Consistance,Affectation,Superficie / étages,Valeur en DH/m²,CC-AF1,,,Immeubles construits,Construction à usage commercial,,*****,18000,Conservation_scrapee
CC-AF1,,,Immeubles construits,Construction à usage touristique,,*****,18000,,,,,,,,,CASA ELFIDA MERS SULTAN
CC-AF1,,,Immeubles construits,Construction équipements publics,,*****,800,,,,,,,,,CASA ELFIDA MERS SULTAN
CC-AF1,,,Immeubles construits,Construction socio-administratifs,,*****,800,,,,,,,,,CASA ELFIDA MERS SULTAN
CC-AF1,,,Immeubles construits,Appartement (fermé et sécurisé),,*****,10000,,,,,,,,,CASA ELFIDA MERS SULTAN
CC-AF1,,,Terrain nu,Terrain nu équipé,Activité commerciale,Supérieure ou égale à 200 m²,18000,,,,,,,,,CASA ELFIDA MERS SULTAN
CC-AF1,,,Terrain nu,Terrain nu équipé,Activité commerciale,Inférieure à 200 m²,19000,,,,,,,,,CASA ELFIDA MERS SULTAN
CC-AF1,,,Terrain nu,Terrain nu équipé,Activité touristique,Supérieure ou égale à 200 m²,18000,,,,,,,,,CASA ELFIDA MERS SULTAN
CC-AF1,,,Terrain nu,Terrain nu équipé,Activité touristique,Inférieure à 200 m²,19000,,,,,,,,,CASA ELFIDA MERS SULTAN
CC-AF1,,,Terrain nu,Terrain nu équipé,Equipements publics,*****,400,,,,,,,,,CASA ELFIDA MERS SULTAN
CC-AF1,,,Terrain nu,Terrain nu équipé,,Supérieur à 7 étages,19000,,,,,,,,,CASA ELFIDA MERS SULTAN
CC-AF1,,,Terrain nu,Terrain nu équipé,,Inférieur ou égal à 2 étages,15000,,,,,,,,,CASA ELFIDA MERS SULTAN
CC-AF1,,,Terrain nu,Terrain nu équipé,,Egal à 5 et Inférieur ou égal à 7 étages,18000,,,,,,,,,CASA ELFIDA MERS SULTAN
CC-AF1,,,Terrain nu,Terrain nu équipé,,*****,17000,,,,,,,,,CASA ELFIDA MERS SULTAN
CC-AF1,,,Terrain nu,Terrain nu équipé,Equipements socio-administratifs,*****,400,,,,,,,,,CASA ELFIDA MERS SULTAN
CC-AF1,,,Terrain nu,Terrain nu équipé,Villa Groupement d`habitation,Supérieure à 10000 m²,8500,,,,,,,,,CASA ELFIDA MERS SULTAN
CC-AF1,,,Terrain nu,Terrain nu équipé,Villa Groupement d`habitation,Inférieure à 2000 m²,10500,,,,,,,,,CASA ELFIDA MERS SULTAN
CC-AF1,,,Terrain nu,Terrain nu équipé,Villa Groupement d`habitation,Supérieure ou égale à 2000 m² et inférieure à 10000 m²,9500,,,,,,,,,CASA ELFIDA MERS SULTAN
CC-AF1,,,Terrain nu,Terrain nu équipé non immatriculé,,Inférieure à 200 m²,8000,,,,,,,,,CASA ELFIDA MERS SULTAN
CC-AF10,,,Immeubles construits,Construction à usage commercial,,*****,25000,,,,,,,,,CASA ELFIDA MERS SULTAN
CC-AF10,,,Immeubles construits,Construction à usage touristique,,*****,25000,,,,,,,,,CASA ELFIDA MERS SULTAN
CC-AF10,,,Immeubles construits,Construction équipements publics,,*****,800,,,,,,,,,CASA ELFIDA MERS SULTAN
CC-AF10,,,Immeubles construits,Construction socio-administratifs,,*****,800,,,,,,,,,CASA ELFIDA MERS SULTAN
CC-AF10,,,Immeubles construits,Appartement (fermé et sécurisé),,*****,11000,,,,,,,,,CASA ELFIDA MERS SULTAN
CC-AF10,,,Terrain nu,Terrain nu équipé,Activité commerciale,Inférieure à 200 m²,18000,,,,,,,,,CASA ELFIDA MERS SULTAN
CC-AF10,,,Terrain nu,Terrain nu équipé,Activité commerciale,Supérieure ou égale à 200 m²,17000,,,,,,,,,CASA ELFIDA MERS SULTAN
CC-AF10,,,Terrain nu,Terrain nu équipé,Activité touristique,Supérieure ou égale à 200 m²,17000,,,,,,,,,CASA ELFIDA MERS SULTAN
CC-AF10,,,Terrain nu,Terrain nu équipé,Activité touristique,Inférieure à 200 m²,18000,,,,,,,,,CASA ELFIDA MERS SULTAN
CC-AF10,,,Terrain nu,Terrain nu équipé,Espaces verts et voiries,*****,400,,,,,,,,,CASA ELFIDA MERS SULTAN
CC-AF10,,,Terrain nu,Terrain nu équipé,,*****,16000,,,,,,,,,CASA ELFIDA MERS SULTAN
CC-AF10,,,Terrain nu,Terrain nu équipé,,Supérieur à 7 étages,18000,,,,,,,,,CASA ELFIDA MERS SULTAN
CC-AF10,,,Terrain nu,Terrain nu équipé,,Inférieur ou égal à 2 étages,15000,,,,,,,,,CASA ELFIDA MERS SULTAN
CC-AF10,,,Terrain nu,Terrain nu équipé,,Egal à 5 et Inférieur ou égal à 7 étages,17000,,,,,,,,,CASA ELFIDA MERS SULTAN
CC-AF10,,,Terrain nu,Terrain nu équipé,Equipements socio-administratifs,*****,400,,,,,,,,,CASA ELFIDA MERS SULTAN
CC-AF10,,,Terrain nu,Terrain nu équipé,Villa Groupement d`habitation,Supérieure ou égale à 2000 m² et inférieure à 10000 m²,9500,,,,,,,,,CASA ELFIDA MERS SULTAN
CC-AF10,,,Terrain nu,Terrain nu équipé,Villa Groupement d`habitation,Supérieure à 10000 m²,8500,,,,,,,,,CASA ELFIDA MERS SULTAN
CC-AF10,,,Terrain nu,Terrain nu équipé,Villa Groupement d`habitation,Inférieure à 2000 m²,10500,,,,,,,,,CASA ELFIDA MERS SULTAN
CC-AF10,,,Terrain nu,Terrain nu équipé non immatriculé,,Inférieure à 200 m²,7000,,,,,,,,,CASA ELFIDA MERS SULTAN
CC-AF11,,,Immeubles construits,Construction à usage commercial,,*****,15000,,,,,,,,,CASA ELFIDA MERS SULTAN
CC-AF11,,,Immeubles construits,Construction à usage touristique,,*****,15000,,,,,,,,,CASA ELFIDA MERS SULTAN
CC-AF11,,,Immeubles construits,Construction équipements publics,,*****,800,,,,,,,,,CASA ELFIDA MERS SULTAN
CC-AF11,,,Immeubles construits,Construction socio-administratifs,,*****,800,,,,,,,,,CASA ELFIDA MERS SULTAN
CC-AF11,,,Immeubles construits,Appartement (fermé et sécurisé),,*****,10000,,,,,,,,,CASA ELFIDA MERS SULTAN
CC-AF11,,,Terrain nu,Terrain nu équipé,Activité commerciale,Inférieure à 200 m²,17000,,,,,,,,,CASA ELFIDA MERS SULTAN
CC-AF11,,,Terrain nu,Terrain nu équipé,Activité commerciale,Supérieure ou égale à 200 m²,16000,,,,,,,,,CASA ELFIDA MERS SULTAN
CC-AF11,,,Terrain nu,Terrain nu équipé,Activité touristique,Supérieure ou égale à 200 m²,16000,,,,,,,,,CASA ELFIDA MERS SULTAN
CC-AF11,,,Terrain nu,Terrain nu équipé,Equipements publics,*****,400,,,,,,,,,CASA ELFIDA MERS SULTAN
CC-AF11,,,Terrain nu,Terrain nu équipé,Espaces verts et voiries,*****,400,,,,,,,,,CASA ELFIDA MERS SULTAN
CC-AF11,,,Terrain nu,Terrain nu équipé,,Supérieur à 7 étages,17000,,,,,,,,,CASA ELFIDA MERS SULTAN
CC-AF11,,,Terrain nu,Terrain nu équipé,,Egal à 5 et Inférieur ou égal à 7 étages,16000,,,,,,,,,CASA ELFIDA MERS SULTAN
CC-AF11,,,Terrain nu,Terrain nu équipé,,*****,15000,,,,,,,,,CASA ELFIDA MERS SULTAN
CC-AF11,,,Terrain nu,Terrain nu équipé,,Inférieur ou égal à 2 étages,14000,,,,,,,,,CASA ELFIDA MERS SULTAN
CC-AF11,,,Terrain nu,Terrain nu équipé,Equipements socio-administratifs,*****,400,,,,,,,,,CASA ELFIDA MERS SULTAN
CC-AF11,,,Terrain nu,Terrain nu équipé non immatriculé,,Supérieure ou égale à 200 m²,6000,,,,,,,,,CASA ELFIDA MERS SULTAN
CC-AF11,,,Terrain nu,Terrain nu équipé non immatriculé,,Inférieure à 200 m²,7000,,,,,,,,,CASA ELFIDA MERS SULTAN
CC-AF11,,,Terrain nu,Terrain nu non équipé,,Supérieure ou égale à 1000 m²,4000,,,,,,,,,CASA ELFIDA MERS SULTAN
CC-AF2,,,Immeubles construits,Construction à usage commercial,,*****,20000,,,,,,,,,CASA ELFIDA MERS SULTAN
CC-AF2,,,Immeubles construits,Construction à usage touristique,,*****,20000,,,,,,,,,CASA ELFIDA MERS SULTAN
CC-AF2,,,Immeubles construits,Villa,,*****,8000,,,,,,,,,CASA ELFIDA MERS SULTAN
CC-AF2,,,Immeubles construits,Construction équipements publics,,*****,800,,,,,,,,,CASA ELFIDA MERS SULTAN
CC-AF2,,,Immeubles construits,Construction socio-administratifs,,*****,800,,,,,,,,,CASA ELFIDA MERS SULTAN
CC-AF2,,,Immeubles construits,Appartement (fermé et sécurisé),,*****,11000,,,,,,,,,CASA ELFIDA MERS SULTAN
CC-AF2,,,Terrain nu,Terrain nu équipé,Activité commerciale,Supérieure ou égale à 200 m²,18000,,,,,,,,,CASA ELFIDA MERS SULTAN
CC-AF2,,,Terrain nu,Terrain nu équipé,Activité commerciale,Inférieure à 200 m²,19000,,,,,,,,,CASA ELFIDA MERS SULTAN
CC-AF2,,,Terrain nu,Terrain nu équipé,Activité touristique,Supérieure ou égale à 200 m²,18000,,,,,,,,,CASA ELFIDA MERS SULTAN
CC-AF2,,,Terrain nu,Terrain nu équipé,Equipements publics,*****,400,,,,,,,,,CASA ELFIDA MERS SULTAN
CC-AF2,,,Terrain nu,Terrain nu équipé,Espaces verts et voiries,*****,400,,,,,,,,,CASA ELFIDA MERS SULTAN
CC-AF2,,,Terrain nu,Terrain nu équipé,,Inférieur ou égal à 2 étages,15000,,,,,,,,,CASA ELFIDA MERS SULTAN
CC-AF2,,,Terrain nu,Terrain nu équipé,,*****,17000,,,,,,,,,CASA ELFIDA MERS SULTAN
CC-AF2,,,Terrain nu,Terrain nu équipé,,Egal à 5 et Inférieur ou égal à 7 étages,18000,,,,,,,,,CASA ELFIDA MERS SULTAN
CC-AF2,,,Terrain nu,Terrain nu équipé,,Supérieur à 7 étages,19000,,,,,,,,,CASA ELFIDA MERS SULTAN
CC-AF2,,,Terrain nu,Terrain nu équipé,Villa,Inférieure à 200 m²,15000,,,,,,,,,CASA ELFIDA MERS SULTAN
CC-AF2,,,Terrain nu,Terrain nu équipé,Villa,Supérieure ou égale à 200 m²,13000,,,,,,,,,CASA ELFIDA MERS SULTAN
CC-AF2,,,Terrain nu,Terrain nu équipé,Villa Groupement d`habitation,Supérieure à 10000 m²,8500,,,,,,,,,CASA ELFIDA MERS SULTAN
CC-AF2,,,Terrain nu,Terrain nu équipé,Villa Groupement d`habitation,Supérieure ou égale à 2000 m² et inférieure à 10000 m²,9500,,,,,,,,,CASA ELFIDA MERS SULTAN
CC-AF2,,,Terrain nu,Terrain nu équipé,Villa Groupement d`habitation,Inférieure à 2000 m²,10500,,,,,,,,,CASA ELFIDA MERS SULTAN
CC-AF2,,,Terrain nu,Terrain nu équipé non immatriculé,,Inférieure à 200 m²,8000,,,,,,,,,CASA ELFIDA MERS SULTAN
CC-AF2,,,Terrain nu,Terrain nu équipé non immatriculé,,Supérieure ou égale à 200 m²,7000,,,,,,,,,CASA ELFIDA MERS SULTAN
CC-AF3,,,Immeubles construits,Construction à usage commercial,,*****,20000,,,,,,,,,CASA ELFIDA MERS SULTAN
CC-AF3,,,Immeubles construits,Construction à usage touristique,,*****,20000,,,,,,,,,CASA ELFIDA MERS SULTAN
CC-AF3,,,Immeubles construits,Villa,,*****,8000,,,,,,,,,CASA ELFIDA MERS SULTAN
CC-AF3,,,Immeubles construits,Construction équipements publics,,*****,800,,,,,,,,,CASA ELFIDA MERS SULTAN
CC-AF3,,,Immeubles construits,Appartement (fermé et sécurisé),,*****,12000,,,,,,,,,CASA ELFIDA MERS SULTAN
CC-AF3,,,Terrain nu,Terrain nu équipé,Activité commerciale,Inférieure à 200 m²,17000,,,,,,,,,CASA ELFIDA MERS SULTAN
CC-AF3,,,Terrain nu,Terrain nu équipé,Activité commerciale,Supérieure ou égale à 200 m²,16000,,,,,,,,,CASA ELFIDA MERS SULTAN
CC-AF3,,,Terrain nu,Terrain nu équipé,Activité touristique,Supérieure ou égale à 200 m²,16000,,,,,,,,,CASA ELFIDA MERS SULTAN
CC-AF3,,,Terrain nu,Terrain nu équipé,Activité touristique,Inférieure à 200 m²,17000,,,,,,,,,CASA ELFIDA MERS SULTAN
CC-AF3,,,Terrain nu,Terrain nu équipé,Equipements publics,*****,400,,,,,,,,,CASA ELFIDA MERS SULTAN
CC-AF3,,,Terrain nu,Terrain nu équipé,Espaces verts et voiries,*****,400,,,,,,,,,CASA ELFIDA MERS SULTAN
CC-AF3,,,Terrain nu,Terrain nu équipé,,Inférieur ou égal à 2 étages,13000,,,,,,,,,CASA ELFIDA MERS SULTAN
CC-AF3,,,Terrain nu,Terrain nu équipé,,Supérieur à 7 étages,16000,,,,,,,,,CASA ELFIDA MERS SULTAN
CC-AF3,,,Terrain nu,Terrain nu équipé,,Egal à 5 et Inférieur ou égal à 7 étages,15000,,,,,,,,,CASA ELFIDA MERS SULTAN
CC-AF3,,,Terrain nu,Terrain nu équipé,Villa,Inférieure à 200 m²,14000,,,,,,,,,CASA ELFIDA MERS SULTAN
CC-AF3,,,Terrain nu,Terrain nu équipé,Villa,Supérieure ou égale à 200 m²,13000,,,,,,,,,CASA ELFIDA MERS SULTAN
CC-AF3,,,Terrain nu,Terrain nu équipé,Equipements socio-administratifs,*****,400,,,,,,,,,CASA ELFIDA MERS SULTAN
CC-AF3,,,Terrain nu,Terrain nu équipé non immatriculé,,Supérieure ou égale à 200 m²,7000,,,,,,,,,CASA ELFIDA MERS SULTAN
CC-AF3,,,Terrain nu,Terrain nu équipé non immatriculé,,Inférieure à 200 m²,8000,,,,,,,,,CASA ELFIDA MERS SULTAN
CC-AF5,,,Immeubles construits,Construction à usage commercial,,*****,20000,,,,,,,,,CASA ELFIDA MERS SULTAN
CC-AF5,,,Immeubles construits,Construction à usage touristique,,*****,20000,,,,,,,,,CASA ELFIDA MERS SULTAN
CC-AF5,,,Immeubles construits,Villa,,*****,8000,,,,,,,,,CASA ELFIDA MERS SULTAN
CC-AF5,,,Immeubles construits,Construction socio-administratifs,,*****,800,,,,,,,,,CASA ELFIDA MERS SULTAN
CC-AF5,,,Immeubles construits,Appartement (fermé et sécurisé),,*****,12000,,,,,,,,,CASA ELFIDA MERS SULTAN
CC-AF5,,,Terrain nu,Terrain nu équipé,Activité commerciale,Supérieure ou égale à 200 m²,16000,,,,,,,,,CASA ELFIDA MERS SULTAN
CC-AF5,,,Terrain nu,Terrain nu équipé,Activité commerciale,Inférieure à 200 m²,17000,,,,,,,,,CASA ELFIDA MERS SULTAN
CC-AF5,,,Terrain nu,Terrain nu équipé,Activité touristique,Supérieure ou égale à 200 m²,16000,,,,,,,,,CASA ELFIDA MERS SULTAN
CC-AF5,,,Terrain nu,Terrain nu équipé,Activité touristique,Inférieure à 200 m²,17000,,,,,,,,,CASA ELFIDA MERS SULTAN
CC-AF5,,,Terrain nu,Terrain nu équipé,Equipements publics,*****,400,,,,,,,,,CASA ELFIDA MERS SULTAN
CC-AF5,,,Terrain nu,Terrain nu équipé,Espaces verts et voiries,*****,400,,,,,,,,,CASA ELFIDA MERS SULTAN
CC-AF5,,,Terrain nu,Terrain nu équipé,,Inférieur ou égal à 2 étages,13000,,,,,,,,,CASA ELFIDA MERS SULTAN
CC-AF5,,,Terrain nu,Terrain nu équipé,,Supérieur à 7 étages,16000,,,,,,,,,CASA ELFIDA MERS SULTAN
CC-AF5,,,Terrain nu,Terrain nu équipé,,Egal à 5 et Inférieur ou égal à 7 étages,15000,,,,,,,,,CASA ELFIDA MERS SULTAN
CC-AF5,,,Terrain nu,Terrain nu équipé,Villa,Inférieure à 200 m²,14000,,,,,,,,,CASA ELFIDA MERS SULTAN
CC-AF5,,,Terrain nu,Terrain nu équipé,Villa,Supérieure ou égale à 200 m²,13000,,,,,,,,,CASA ELFIDA MERS SULTAN
CC-AF5,,,Terrain nu,Terrain nu équipé,Equipements socio-administratifs,*****,400,,,,,,,,,CASA ELFIDA MERS SULTAN
CC-AF5,,,Terrain nu,Terrain nu équipé,Villa Groupement d`habitation,Inférieure à 2000 m²,9500,,,,,,,,,CASA ELFIDA MERS SULTAN
CC-AF5,,,Terrain nu,Terrain nu équipé,Villa Groupement d`habitation,Supérieure à 10000 m²,7500,,,,,,,,,CASA ELFIDA MERS SULTAN
CC-AF5,,,Terrain nu,Terrain nu équipé,Villa Groupement d`habitation,Supérieure ou égale à 2000 m² et inférieure à 10000 m²,8500,,,,,,,,,CASA ELFIDA MERS SULTAN
CC-AF5,,,Terrain nu,Terrain nu équipé non immatriculé,,Inférieure à 200 m²,7000,,,,,,,,,CASA ELFIDA MERS SULTAN
CC-AF6,,,Immeubles construits,Construction à usage commercial,,*****,15000,,,,,,,,,CASA ELFIDA MERS SULTAN
CC-AF6,,,Immeubles construits,Construction à usage touristique,,*****,15000,,,,,,,,,CASA ELFIDA MERS SULTAN
CC-AF6,,,Immeubles construits,Construction équipements publics,,*****,800,,,,,,,,,CASA ELFIDA MERS SULTAN
CC-AF6,,,Immeubles construits,Construction socio-administratifs,,*****,800,,,,,,,,,CASA ELFIDA MERS SULTAN
CC-AF6,,,Immeubles construits,Appartement (fermé et sécurisé),,*****,11000,,,,,,,,,CASA ELFIDA MERS SULTAN
CC-AF6,,,Terrain nu,Terrain nu équipé,Activité commerciale,Inférieure à 200 m²,18000,,,,,,,,,CASA ELFIDA MERS SULTAN
CC-AF6,,,Terrain nu,Terrain nu équipé,Activité commerciale,Supérieure ou égale à 200 m²,17000,,,,,,,,,CASA ELFIDA MERS SULTAN
CC-AF6,,,Terrain nu,Terrain nu équipé,Activité touristique,Supérieure ou égale à 200 m²,17000,,,,,,,,,CASA ELFIDA MERS SULTAN
CC-AF6,,,Terrain nu,Terrain nu équipé,Activité touristique,Inférieure à 200 m²,18000,,,,,,,,,CASA ELFIDA MERS SULTAN
CC-AF6,,,Terrain nu,Terrain nu équipé,Espaces verts et voiries,*****,400,,,,,,,,,CASA ELFIDA MERS SULTAN
CC-AF6,,,Terrain nu,Terrain nu équipé,,Supérieur à 7 étages,18000,,,,,,,,,CASA ELFIDA MERS SULTAN
CC-AF6,,,Terrain nu,Terrain nu équipé,,Egal à 5 et Inférieur ou égal à 7 étages,17000,,,,,,,,,CASA ELFIDA MERS SULTAN
CC-AF6,,,Terrain nu,Terrain nu équipé,,*****,16000,,,,,,,,,CASA ELFIDA MERS SULTAN
CC-AF6,,,Terrain nu,Terrain nu équipé,,Inférieur ou égal à 2 étages,15000,,,,,,,,,CASA ELFIDA MERS SULTAN
CC-AF6,,,Terrain nu,Terrain nu équipé,Equipements socio-administratifs,*****,400,,,,,,,,,CASA ELFIDA MERS SULTAN
CC-AF6,,,Terrain nu,Terrain nu équipé,Villa Groupement d`habitation,Supérieure ou égale à 2000 m² et inférieure à 10000 m²,9500,,,,,,,,,CASA ELFIDA MERS SULTAN
CC-AF6,,,Terrain nu,Terrain nu équipé,Villa Groupement d`habitation,Supérieure à 10000 m²,8500,,,,,,,,,CASA ELFIDA MERS SULTAN
