Zone,Préfecture/Province,Arrondissement/Commune,Famille des consistances,Consistance,Affectation,Superficie / étages,Valeur en DH/m²,CE-BM1,,,Terrain nu,Terrain nu équipé,,Inférieur ou égal à 2 étages,12000,Conservation_scrapee
CE-MR8,,,Terrain nu,Terrain nu équipé,Equipements socio-administratifs,*****,400,,,,,,,,,CASA SIDI OTHMANE
CE-MR8,,,Terrain nu,Terrain nu équipé,Espaces verts et voiries,*****,400,,,,,,,,,CASA SIDI OTHMANE
CE-MR8,,,Terrain nu,Terrain nu équipé,Villa,Inférieure à 200 m²,7000,,,,,,,,,CASA SIDI OTHMANE
CE-MR8,,,Terrain nu,Terrain nu équipé,Villa,Supérieure ou égale à 200 m²,6000,,,,,,,,,CASA SIDI OTHMANE
CE-MR8,,,Terrain nu,Terrain nu équipé,Immeuble Groupement d`habitation,Inférieure à 2000 m²,5000,,,,,,,,,CASA SIDI OTHMANE
CE-MR8,,,Terrain nu,Terrain nu équipé,Immeuble Groupement d`habitation,Supérieure ou égale à 2000 m² et inférieure à 10000 m²,4500,,,,,,,,,CASA SIDI OTHMANE
CE-MR8,,,Terrain nu,Terrain nu équipé,Activité commerciale,Inférieure à 200 m²,11000,,,,,,,,,CASA SIDI OTHMANE
CE-MR8,,,Terrain nu,Terrain nu équipé,Activité commerciale,Supérieure ou égale à 200 m²,10000,,,,,,,,,CASA SIDI OTHMANE
CE-MR8,,,Terrain nu,Terrain nu équipé,Activité touristique,Inférieure à 200 m²,11000,,,,,,,,,CASA SIDI OTHMANE
CE-MR8,,,Terrain nu,Terrain nu équipé,Activité touristique,Supérieure ou égale à 200 m²,10000,,,,,,,,,CASA SIDI OTHMANE
CE-MR8,,,Terrain nu,Terrain nu équipé non immatriculé,,Inférieure à 100 m²,4000,,,,,,,,,CASA SIDI OTHMANE
CE-MR8,,,Terrain nu,Terrain nu équipé non immatriculé,,Supérieure ou égale à 100 m²,3500,,,,,,,,,CASA SIDI OTHMANE
CE-MR8,,,Terrain nu,Terrain nu non équipé,,Inférieure à 1000 m²,3000,,,,,,,,,CASA SIDI OTHMANE
CE-MR8,,,Terrain nu,Terrain nu non équipé,,Supérieure ou égale à 1000 m²,2500,,,,,,,,,CASA SIDI OTHMANE
CE-MR8,,,Immeubles construits,Appartement (fermé et sécurisé),,*****,10000,,,,,,,,,CASA SIDI OTHMANE
CE-MR8,,,Immeubles construits,Construction à usage touristique,,*****,11000,,,,,,,,,CASA SIDI OTHMANE
CE-MR8,,,Immeubles construits,Villa,,*****,6000,,,,,,,,,CASA SIDI OTHMANE
CE-MR8,,,Immeubles construits,Villa (fermée et sécurisée),,*****,7000,,,,,,,,,CASA SIDI OTHMANE
CE-MR8,,,Immeubles construits,Construction équipements publics,,*****,800,,,,,,,,,CASA SIDI OTHMANE
CE-MR8,,,Immeubles construits,Construction socio-administratifs,,*****,800,,,,,,,,,CASA SIDI OTHMANE
CE-MR9,,,Terrain nu,Terrain nu équipé,,Inférieur ou égal à 2 étages,11000,,,,,,,,,CASA SIDI OTHMANE
CE-MR9,,,Terrain nu,Terrain nu équipé,,*****,12000,,,,,,,,,CASA SIDI OTHMANE
CE-MR9,,,Terrain nu,Terrain nu équipé,,Egal à 5 et Inférieur ou égal à 7 étages,12000,,,,,,,,,CASA SIDI OTHMANE
CE-MR9,,,Terrain nu,Terrain nu équipé,,Supérieur à 7 étages,15000,,,,,,,,,CASA SIDI OTHMANE
CE-MR9,,,Terrain nu,Terrain nu équipé,Equipements socio-administratifs,*****,400,,,,,,,,,CASA SIDI OTHMANE
CE-MR9,,,Terrain nu,Terrain nu équipé,Espaces verts et voiries,*****,400,,,,,,,,,CASA SIDI OTHMANE
CE-MR9,,,Terrain nu,Terrain nu équipé,Activité commerciale,Inférieure à 200 m²,15000,,,,,,,,,CASA SIDI OTHMANE
CE-MR9,,,Terrain nu,Terrain nu équipé,Activité commerciale,Supérieure ou égale à 200 m²,14000,,,,,,,,,CASA SIDI OTHMANE
CE-MR9,,,Terrain nu,Terrain nu équipé,Activité touristique,Inférieure à 200 m²,15000,,,,,,,,,CASA SIDI OTHMANE
CE-MR9,,,Terrain nu,Terrain nu équipé,Activité touristique,Supérieure ou égale à 200 m²,14000,,,,,,,,,CASA SIDI OTHMANE
CE-MR9,,,Terrain nu,Terrain nu équipé non immatriculé,,Inférieure à 100 m²,6000,,,,,,,,,CASA SIDI OTHMANE
CE-MR9,,,Terrain nu,Terrain nu équipé non immatriculé,,Supérieure ou égale à 100 m²,5500,,,,,,,,,CASA SIDI OTHMANE
CE-MR9,,,Terrain nu,Terrain nu non équipé,,Inférieure à 1000 m²,4500,,,,,,,,,CASA SIDI OTHMANE
CE-MR9,,,Immeubles construits,Appartement (fermé et sécurisé),,*****,1000,,,,,,,,,CASA SIDI OTHMANE
CE-MR9,,,Immeubles construits,Construction à usage commercial,,*****,12000,,,,,,,,,CASA SIDI OTHMANE
CE-MR9,,,Immeubles construits,Construction à usage touristique,,*****,12000,,,,,,,,,CASA SIDI OTHMANE
CE-MR9,,,Immeubles construits,Construction équipements publics,,*****,800,,,,,,,,,CASA SIDI OTHMANE
CE-MR9,,,Immeubles construits,Construction socio-administratifs,,*****,800,,,,,,,,,CASA SIDI OTHMANE
CE-SB1,,,Terrain nu,Terrain nu équipé,,Inférieur ou égal à 2 étages,10000,,,,,,,,,CASA SIDI OTHMANE
CE-SB1,,,Terrain nu,Terrain nu équipé,,*****,11000,,,,,,,,,CASA SIDI OTHMANE
CE-SB1,,,Terrain nu,Terrain nu équipé,,Egal à 5 et Inférieur ou égal à 7 étages,12000,,,,,,,,,CASA SIDI OTHMANE
CE-SB1,,,Terrain nu,Terrain nu équipé,,Supérieur à 7 étages,13000,,,,,,,,,CASA SIDI OTHMANE
CE-SB1,,,Terrain nu,Terrain nu équipé,Villa Groupement d`habitation,Supérieure ou égale à 2000 m² et inférieure à 10000 m²,7500,,,,,,,,,CASA SIDI OTHMANE
CE-SB1,,,Terrain nu,Terrain nu équipé,Villa Groupement d`habitation,Supérieure à 10000 m²,7000,,,,,,,,,CASA SIDI OTHMANE
CE-SB1,,,Terrain nu,Terrain nu équipé,Equipements publics,*****,400,,,,,,,,,CASA SIDI OTHMANE
CE-SB1,,,Terrain nu,Terrain nu équipé,Equipements socio-administratifs,*****,400,,,,,,,,,CASA SIDI OTHMANE
CE-SB1,,,Terrain nu,Terrain nu équipé,Espaces verts et voiries,*****,400,,,,,,,,,CASA SIDI OTHMANE
CE-SB1,,,Terrain nu,Terrain nu équipé,Villa,Inférieure à 200 m²,7000,,,,,,,,,CASA SIDI OTHMANE
CE-SB1,,,Terrain nu,Terrain nu équipé,Villa,Supérieure ou égale à 200 m²,6000,,,,,,,,,CASA SIDI OTHMANE
CE-SB1,,,Terrain nu,Terrain nu équipé,Immeuble Groupement d`habitation,Inférieure à 2000 m²,5000,,,,,,,,,CASA SIDI OTHMANE
CE-SB1,,,Terrain nu,Terrain nu équipé,Immeuble Groupement d`habitation,Supérieure ou égale à 2000 m² et inférieure à 10000 m²,4500,,,,,,,,,CASA SIDI OTHMANE
CE-SB1,,,Terrain nu,Terrain nu équipé,Activité commerciale,Inférieure à 200 m²,13000,,,,,,,,,CASA SIDI OTHMANE
CE-SB1,,,Terrain nu,Terrain nu équipé,Activité commerciale,Supérieure ou égale à 200 m²,12000,,,,,,,,,CASA SIDI OTHMANE
CE-SB1,,,Terrain nu,Terrain nu équipé,Activité touristique,Inférieure à 200 m²,13000,,,,,,,,,CASA SIDI OTHMANE
CE-SB1,,,Terrain nu,Terrain nu équipé,Activité touristique,Supérieure ou égale à 200 m²,12000,,,,,,,,,CASA SIDI OTHMANE
CE-SB1,,,Terrain nu,Terrain nu équipé,Zone industrielle ou artisanale,Inférieure à 400 m²,5000,,,,,,,,,CASA SIDI OTHMANE
CE-SB1,,,Terrain nu,Terrain nu équipé,Zone industrielle ou artisanale,Supérieure ou égale à 400 m²,4500,,,,,,,,,CASA SIDI OTHMANE
CE-SB1,,,Terrain nu,Terrain nu équipé non immatriculé,,Inférieure à 100 m²,4000,,,,,,,,,CASA SIDI OTHMANE
CE-SB1,,,Terrain nu,Terrain nu équipé non immatriculé,,Supérieure ou égale à 100 m²,3500,,,,,,,,,CASA SIDI OTHMANE
CE-SB1,,,Terrain nu,Terrain nu non équipé,,Inférieure à 1000 m²,3000,,,,,,,,,CASA SIDI OTHMANE
CE-SB1,,,Immeubles construits,Appartement (fermé et sécurisé),,*****,10000,,,,,,,,,CASA SIDI OTHMANE
CE-SB1,,,Immeubles construits,Construction à usage commercial,,*****,11000,,,,,,,,,CASA SIDI OTHMANE
CE-SB1,,,Immeubles construits,Construction à usage touristique,,*****,11000,,,,,,,,,CASA SIDI OTHMANE
CE-SB1,,,Immeubles construits,Villa,,*****,6000,,,,,,,,,CASA SIDI OTHMANE
CE-SB1,,,Immeubles construits,Villa (fermée et sécurisée),,*****,7000,,,,,,,,,CASA SIDI OTHMANE
CE-SB1,,,Immeubles construits,Construction équipements publics,,*****,800,,,,,,,,,CASA SIDI OTHMANE
CE-SB1,,,Immeubles construits,Construction socio-administratifs,,*****,800,,,,,,,,,CASA SIDI OTHMANE
CE-SB2,,,Terrain nu,Terrain nu équipé,,Inférieur ou égal à 2 étages,10000,,,,,,,,,CASA SIDI OTHMANE
CE-SB2,,,Terrain nu,Terrain nu équipé,,*****,11000,,,,,,,,,CASA SIDI OTHMANE
CE-SB2,,,Terrain nu,Terrain nu équipé,,Supérieur à 7 étages,13000,,,,,,,,,CASA SIDI OTHMANE
CE-SB2,,,Terrain nu,Terrain nu équipé,Equipements publics,*****,400,,,,,,,,,CASA SIDI OTHMANE
CE-SB2,,,Terrain nu,Terrain nu équipé,Equipements socio-administratifs,*****,400,,,,,,,,,CASA SIDI OTHMANE
CE-SB2,,,Terrain nu,Terrain nu équipé,Espaces verts et voiries,*****,400,,,,,,,,,CASA SIDI OTHMANE
CE-SB2,,,Terrain nu,Terrain nu équipé,Villa,Inférieure à 200 m²,7000,,,,,,,,,CASA SIDI OTHMANE
CE-SB2,,,Terrain nu,Terrain nu équipé,Villa,Supérieure ou égale à 200 m²,6000,,,,,,,,,CASA SIDI OTHMANE
CE-SB2,,,Terrain nu,Terrain nu équipé,Activité commerciale,Inférieure à 200 m²,13000,,,,,,,,,CASA SIDI OTHMANE
CE-SB2,,,Terrain nu,Terrain nu équipé,Activité commerciale,Supérieure ou égale à 200 m²,12000,,,,,,,,,CASA SIDI OTHMANE
CE-SB2,,,Terrain nu,Terrain nu équipé,Activité touristique,Inférieure à 200 m²,13000,,,,,,,,,CASA SIDI OTHMANE
CE-SB2,,,Terrain nu,Terrain nu équipé,Zone industrielle ou artisanale,Inférieure à 400 m²,5000,,,,,,,,,CASA SIDI OTHMANE
CE-SB2,,,Terrain nu,Terrain nu équipé,Zone industrielle ou artisanale,Supérieure ou égale à 400 m²,4000,,,,,,,,,CASA SIDI OTHMANE
CE-SB2,,,Terrain nu,Terrain nu équipé non immatriculé,,Inférieure à 100 m²,4500,,,,,,,,,CASA SIDI OTHMANE
CE-SB2,,,Terrain nu,Terrain nu équipé non immatriculé,,Supérieure ou égale à 100 m²,4000,,,,,,,,,CASA SIDI OTHMANE
CE-SB2,,,Terrain nu,Terrain nu non équipé,,Inférieure à 1000 m²,3000,,,,,,,,,CASA SIDI OTHMANE
CE-SB2,,,Terrain nu,Terrain nu non équipé,,Supérieure ou égale à 1000 m²,2500,,,,,,,,,CASA SIDI OTHMANE
CE-SB2,,,Immeubles construits,Appartement (fermé et sécurisé),,*****,10000,,,,,,,,,CASA SIDI OTHMANE
CE-SB2,,,Immeubles construits,Construction à usage commercial,,*****,12000,,,,,,,,,CASA SIDI OTHMANE
CE-SB2,,,Immeubles construits,Construction à usage touristique,,*****,12000,,,,,,,,,CASA SIDI OTHMANE
CE-SB2,,,Immeubles construits,Villa (fermée et sécurisée),,*****,7000,,,,,,,,,CASA SIDI OTHMANE
CE-SB2,,,Immeubles construits,Construction équipements publics,,*****,800,,,,,,,,,CASA SIDI OTHMANE
CE-SB2,,,Immeubles construits,Construction socio-administratifs,,*****,800,,,,,,,,,CASA SIDI OTHMANE
CE-SB3,,,Terrain nu,Terrain nu équipé,,Inférieur ou égal à 2 étages,11000,,,,,,,,,CASA SIDI OTHMANE
CE-SB3,,,Terrain nu,Terrain nu équipé,,*****,12000,,,,,,,,,CASA SIDI OTHMANE
CE-SB3,,,Terrain nu,Terrain nu équipé,,Egal à 5 et Inférieur ou égal à 7 étages,13000,,,,,,,,,CASA SIDI OTHMANE
CE-SB3,,,Terrain nu,Terrain nu équipé,,Supérieur à 7 étages,15000,,,,,,,,,CASA SIDI OTHMANE
CE-SB3,,,Terrain nu,Terrain nu équipé,Equipements publics,*****,400,,,,,,,,,CASA SIDI OTHMANE
CE-SB3,,,Terrain nu,Terrain nu équipé,Equipements socio-administratifs,*****,400,,,,,,,,,CASA SIDI OTHMANE
CE-SB3,,,Terrain nu,Terrain nu équipé,Activité commerciale,Inférieure à 200 m²,14000,,,,,,,,,CASA SIDI OTHMANE
CE-SB3,,,Terrain nu,Terrain nu équipé,Activité commerciale,Supérieure ou égale à 200 m²,13000,,,,,,,,,CASA SIDI OTHMANE
CE-SB3,,,Terrain nu,Terrain nu équipé,Activité touristique,Inférieure à 200 m²,14000,,,,,,,,,CASA SIDI OTHMANE
CE-SB3,,,Terrain nu,Terrain nu équipé,Activité touristique,Supérieure ou égale à 200 m²,13000,,,,,,,,,CASA SIDI OTHMANE
CE-SB3,,,Terrain nu,Terrain nu équipé non immatriculé,,Inférieure à 100 m²,6000,,,,,,,,,CASA SIDI OTHMANE
CE-SB3,,,Terrain nu,Terrain nu équipé non immatriculé,,Supérieure ou égale à 100 m²,5000,,,,,,,,,CASA SIDI OTHMANE
CE-SB3,,,Terrain nu,Terrain nu non équipé,,Inférieure à 1000 m²,3000,,,,,,,,,CASA SIDI OTHMANE
CE-SB3,,,Terrain nu,Terrain nu non équipé,,Supérieure ou égale à 1000 m²,2500,,,,,,,,,CASA SIDI OTHMANE
CE-SB3,,,Immeubles construits,Appartement (fermé et sécurisé),,*****,10000,,,,,,,,,CASA SIDI OTHMANE
CE-SB3,,,Immeubles construits,Construction à usage touristique,,*****,13000,,,,,,,,,CASA SIDI OTHMANE
CE-SB3,,,Immeubles construits,Construction équipements publics,,*****,800,,,,,,,,,CASA SIDI OTHMANE
CE-SB3,,,Immeubles construits,Construction socio-administratifs,,*****,800,,,,,,,,,CASA SIDI OTHMANE
CE-SB4,,,Terrain nu,Terrain nu équipé,,Inférieur ou égal à 2 étages,11000,,,,,,,,,CASA SIDI OTHMANE
CE-SB4,,,Terrain nu,Terrain nu équipé,,*****,12000,,,,,,,,,CASA SIDI OTHMANE
CE-SB4,,,Terrain nu,Terrain nu équipé,,Egal à 5 et Inférieur ou égal à 7 étages,13000,,,,,,,,,CASA SIDI OTHMANE
CE-SB4,,,Terrain nu,Terrain nu équipé,,Supérieur à 7 étages,15000,,,,,,,,,CASA SIDI OTHMANE
CE-SB4,,,Terrain nu,Terrain nu équipé,Equipements publics,*****,400,,,,,,,,,CASA SIDI OTHMANE
CE-SB4,,,Terrain nu,Terrain nu équipé,Equipements socio-administratifs,*****,400,,,,,,,,,CASA SIDI OTHMANE
CE-SB4,,,Terrain nu,Terrain nu équipé,Activité commerciale,Inférieure à 200 m²,14000,,,,,,,,,CASA SIDI OTHMANE
CE-SB4,,,Terrain nu,Terrain nu équipé,Activité commerciale,Supérieure ou égale à 200 m²,13000,,,,,,,,,CASA SIDI OTHMANE
CE-SB4,,,Terrain nu,Terrain nu équipé,Activité touristique,Inférieure à 200 m²,14000,,,,,,,,,CASA SIDI OTHMANE
CE-SB4,,,Terrain nu,Terrain nu équipé,Activité touristique,Supérieure ou égale à 200 m²,13000,,,,,,,,,CASA SIDI OTHMANE
CE-SB4,,,Terrain nu,Terrain nu équipé non immatriculé,,Inférieure à 100 m²,6000,,,,,,,,,CASA SIDI OTHMANE
CE-SB4,,,Terrain nu,Terrain nu équipé non immatriculé,,Supérieure ou égale à 100 m²,5000,,,,,,,,,CASA SIDI OTHMANE
CE-SB4,,,Terrain nu,Terrain nu non équipé,,Inférieure à 1000 m²,3000,,,,,,,,,CASA SIDI OTHMANE
CE-SB4,,,Terrain nu,Terrain nu non équipé,,Supérieure ou égale à 1000 m²,2500,,,,,,,,,CASA SIDI OTHMANE
CE-SB4,,,Immeubles construits,Appartement (fermé et sécurisé),,*****,10000,,,,,,,,,CASA SIDI OTHMANE
CE-SB4,,,Immeubles construits,Construction à usage touristique,,*****,13000,,,,,,,,,CASA SIDI OTHMANE
CE-SB4,,,Immeubles construits,Construction équipements publics,,*****,800,,,,,,,,,CASA SIDI OTHMANE
CE-SB4,,,Immeubles construits,Construction socio-administratifs,,*****,800,,,,,,,,,CASA SIDI OTHMANE
CE-SB5,,,Terrain nu,Terrain nu équipé,,Inférieur ou égal à 2 étages,11000,,,,,,,,,CASA SIDI OTHMANE
CE-SB5,,,Terrain nu,Terrain nu équipé,,*****,12000,,,,,,,,,CASA SIDI OTHMANE
CE-SB5,,,Terrain nu,Terrain nu équipé,,Egal à 5 et Inférieur ou égal à 7 étages,13000,,,,,,,,,CASA SIDI OTHMANE
CE-SB5,,,Terrain nu,Terrain nu équipé,,Supérieur à 7 étages,15000,,,,,,,,,CASA SIDI OTHMANE
CE-SB5,,,Terrain nu,Terrain nu équipé,Villa Groupement d`habitation,Inférieure à 2000 m²,8000,,,,,,,,,CASA SIDI OTHMANE
CE-SB5,,,Terrain nu,Terrain nu équipé,Villa Groupement d`habitation,Supérieure ou égale à 2000 m² et inférieure à 10000 m²,7500,,,,,,,,,CASA SIDI OTHMANE
CE-SB5,,,Terrain nu,Terrain nu équipé,Equipements publics,*****,400,,,,,,,,,CASA SIDI OTHMANE
CE-SB5,,,Terrain nu,Terrain nu équipé,Equipements socio-administratifs,*****,400,,,,,,,,,CASA SIDI OTHMANE
CE-SB5,,,Terrain nu,Terrain nu équipé,Espaces verts et voiries,*****,400,,,,,,,,,CASA SIDI OTHMANE
CE-SB5,,,Terrain nu,Terrain nu équipé,Activité commerciale,Inférieure à 200 m²,14000,,,,,,,,,CASA SIDI OTHMANE
CE-SB5,,,Terrain nu,Terrain nu équipé,Activité commerciale,Supérieure ou égale à 200 m²,13000,,,,,,,,,CASA SIDI OTHMANE
CE-SB5,,,Terrain nu,Terrain nu équipé,Activité touristique,Inférieure à 200 m²,14000,,,,,,,,,CASA SIDI OTHMANE
CE-SB5,,,Terrain nu,Terrain nu équipé,Activité touristique,Supérieure ou égale à 200 m²,13000,,,,,,,,,CASA SIDI OTHMANE
CE-SB5,,,Terrain nu,Terrain nu équipé non immatriculé,,Inférieure à 100 m²,6000,,,,,,,,,CASA SIDI OTHMANE
CE-SB5,,,Terrain nu,Terrain nu équipé non immatriculé,,Supérieure ou égale à 100 m²,5000,,,,,,,,,CASA SIDI OTHMANE
CE-SB5,,,Terrain nu,Terrain nu non équipé,,Supérieure ou égale à 1000 m²,3500,,,,,,,,,CASA SIDI OTHMANE
CE-SB5,,,Immeubles construits,Appartement (fermé et sécurisé),,*****,10000,,,,,,,,,CASA SIDI OTHMANE
CE-SB5,,,Immeubles construits,Construction à usage commercial,,*****,12000,,,,,,,,,CASA SIDI OTHMANE
CE-SB5,,,Immeubles construits,Construction à usage touristique,,*****,12000,,,,,,,,,CASA SIDI OTHMANE
CE-SB5,,,Immeubles construits,Construction équipements publics,,*****,800,,,,,,,,,CASA SIDI OTHMANE
CE-SB5,,,Immeubles construits,Construction socio-administratifs,,*****,800,,,,,,,,,CASA SIDI OTHMANE
CE-SB6,,,Terrain nu,Terrain nu équipé,,Inférieur ou égal à 2 étages,11000,,,,,,,,,CASA SIDI OTHMANE
CE-SB6,,,Terrain nu,Terrain nu équipé,,*****,12000,,,,,,,,,CASA SIDI OTHMANE
CE-SB6,,,Terrain nu,Terrain nu équipé,,Egal à 5 et Inférieur ou égal à 7 étages,13000,,,,,,,,,CASA SIDI OTHMANE
CE-SB6,,,Terrain nu,Terrain nu équipé,Villa Groupement d`habitation,Inférieure à 2000 m²,8000,,,,,,,,,CASA SIDI OTHMANE
CE-SB6,,,Terrain nu,Terrain nu équipé,Villa Groupement d`habitation,Supérieure ou égale à 2000 m² et inférieure à 10000 m²,7500,,,,,,,,,CASA SIDI OTHMANE
